"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(1,2)) []","dB(S(2,2)) []"
12.0675,-23.8523477939652,-2.40169608265372,-2.40169608265353,-22.0366058091644
12.115,-23.8098494987694,-2.41850473056537,-2.41850473056517,-21.9579344693909
12.1625,-23.7995473252313,-2.43519960628628,-2.43519960628608,-21.9125614157451
12.21,-23.8218788529961,-2.45171851004737,-2.45171851004716,-21.9005692057363
12.2575,-23.8775714026296,-2.467998859474,-2.46799885947381,-21.9223411048646
12.305,-23.9676433925144,-2.48397956510403,-2.48397956510384,-21.9785541440048
12.3525,-24.0934060146898,-2.49960281684408,-2.49960281684391,-22.0701753789065
12.4,-24.2564633456174,-2.51481573861593,-2.51481573861577,-22.1984600054754
12.4475,-24.4587074441046,-2.52957187489735,-2.5295718748972,-22.364949316869
12.495,-24.70230239205,-2.54383247930784,-2.54383247930771,-22.5714652770542
12.5425,-24.9896468240883,-2.5575675815634,-2.5575675815633,-22.8200963546726
12.59,-25.323296937831,-2.57075681479106,-2.57075681479098,-23.1131655612343
12.6375,-25.7058190140433,-2.58338999011963,-2.58338999011957,-23.4531652471945
12.685,-26.1395183588321,-2.5954674093671,-2.59546740936706,-23.8426322089328
12.7325,-26.6259544944928,-2.60699990910983,-2.60699990910982,-24.2839178395339
12.78,-27.1650927182227,-2.61800862974984,-2.61800862974985,-24.778776326686
12.8275,-27.7538545164767,-2.62852450017556,-2.62852450017557,-25.3276421484662
12.875,-28.3837287102364,-2.63858742013376,-2.63858742013379,-25.9283897048073
12.9225,-29.0370826107896,-2.6482451049928,-2.64824510499283,-26.5742689070278
12.97,-29.6821659525739,-2.65755152588416,-2.6575515258842,-27.250650408697
13.0175,-30.2681963250227,-2.66656482600209,-2.66656482600212,-27.9304100508218
13.065,-30.7250337503714,-2.67534452001286,-2.67534452001288,-28.5687771389682
13.1125,-30.9751226178572,-2.68394771588916,-2.68394771588915,-29.1010400946536
13.16,-30.9610647092951,-2.69242416641664,-2.69242416641661,-29.4500642747256
13.2075,-30.6747113159761,-2.70081056510434,-2.70081056510428,-29.5494905310268
13.255,-30.162113534448,-2.70912655438483,-2.70912655438477,-29.3745997718633
13.3025,-29.4992706321613,-2.71737934520514,-2.7173793452051,-28.9562841248913
13.35,-28.7616295227801,-2.72558784770523,-2.72558784770522,-28.3641782827898
13.3975,-28.0071962950916,-2.73382690447216,-2.73382690447218,-27.6755988695134
13.445,-27.2740061740087,-2.74225506862763,-2.74225506862766,-26.9539492842128
13.4925,-26.5843058069217,-2.75107178759179,-2.75107178759177,-26.2425964258256
13.54,-25.9497737317241,-2.76042484944411,-2.760424849444,-25.5677292424736
13.5875,-25.3756363370433,-2.77036115383877,-2.77036115383859,-24.9435513889488
13.635,-24.8634154179539,-2.78085034329368,-2.78085034329347,-24.376765118261
13.6825,-24.4126232967962,-2.79183018416916,-2.79183018416894,-23.8696867667355
13.73,-24.0217664187251,-2.80323414416171,-2.80323414416151,-23.4222091335049
13.7775,-23.6889254905711,-2.81499941161218,-2.814999411612,-23.0329768076511
13.825,-23.4120851475763,-2.8270658489658,-2.82706584896565,-22.7000700856712
13.8725,-23.1893180885542,-2.83937302775757,-2.83937302775745,-22.4213948771992
13.92,-23.0188854309412,-2.85185801975155,-2.85185801975146,-22.1949003838946
13.9675,-22.8992889447925,-2.86445442808821,-2.86445442808815,-22.0186969037944
14.015,-22.829295310484,-2.87709245209587,-2.87709245209584,-21.8911158480296
14.0625,-22.8079432281558,-2.88969967613889,-2.88969967613888,-21.8107359859339
14.11,-22.8345383471855,-2.90220232880887,-2.90220232880887,-21.7763891414179
14.1575,-22.9086368688696,-2.91452683089255,-2.91452683089256,-21.787151932154
14.205,-23.0300151588805,-2.92660150514519,-2.92660150514522,-21.8423257556215
14.2525,-23.1986188890102,-2.93835835677373,-2.93835835677377,-21.9414038714792
14.3,-23.4144802306996,-2.9497348561003,-2.94973485610035,-22.0840212723631
14.3475,-23.6775844132671,-2.96067566910267,-2.96067566910272,-22.2698794012444
14.395,-23.9876562472666,-2.97113429077362,-2.97113429077368,-22.4986330209065
14.4425,-24.3438215355993,-2.98107454253703,-2.98107454253708,-22.7697200107628
14.49,-24.7440766837515,-2.99047189946845,-2.9904718994685,-23.0821059755278
14.5375,-25.1844740584583,-2.99931461645016,-2.99931461645021,-23.4339042131903
14.585,-25.657911347552,-3.00760462502389,-3.00760462502393,-23.8218193886543
14.6325,-26.1524335303838,-3.01535817482827,-3.01535817482831,-24.2403561899835
14.68,-26.6490956350455,-3.02260619530169,-3.02260619530172,-24.6807482185239
14.7275,-27.1198369164611,-3.02939435495133,-3.02939435495135,-25.1296317796605
14.775,-27.5266188705067,-3.03578279709421,-3.03578279709422,-25.5676727867961
14.8225,-27.8240603842308,-3.04184553272359,-3.04184553272359,-25.9687135115908
14.87,-27.9677505669768,-3.04766947320183,-3.04766947320183,-26.3004955716163
14.9175,-27.9273882000233,-3.05335308796469,-3.05335308796467,-26.5282642954733
14.965,-27.6984407201262,-3.05900467544418,-3.05900467544416,-26.6217691456571
15.0125,-27.3041885926848,-3.06474023901538,-3.06474023901534,-26.5638523944905
15.06,-26.7865452610916,-3.07068096389288,-3.07068096389284,-26.3563705149192
15.1075,-26.1924497257791,-3.07695029537097,-3.07695029537092,-26.0196923595143
15.155,-25.5635570829868,-3.0836706232875,-3.08367062328747,-25.5861075561431
15.2025,-24.931843696593,-3.09095958158707,-3.09095958158705,-25.091226105278
15.25,-24.3195637967186,-3.09892597465277,-3.09892597465276,-24.5673933416134
15.2975,-23.7411296482882,-3.1076653427583,-3.10766534275827,-24.0405388388806
15.345,-23.205318753706,-3.11725517647513,-3.11725517647513,-23.529742245177
15.3925,-22.7171344267775,-3.12774978297455,-3.12774978297456,-23.0482050283499
15.44,-22.2791747220624,-3.13917479479512,-3.13917479479515,-22.6046395882858
15.4875,-21.8925741663795,-3.15152129314966,-3.15152129314971,-22.2045707008807
15.535,-21.5576313811863,-3.16473949370522,-3.16473949370529,-21.8513767799833
15.5825,-21.2742244157635,-3.17873191594271,-3.17873191594278,-21.5470619091827
15.63,-21.0420902250007,-3.19334593565633,-3.19334593565641,-21.2928082529841
15.6775,-20.8610214147369,-3.20836562163098,-3.20836562163106,-21.0893678136956
15.725,-20.7310159110153,-3.2235028183275,-3.22350281832752,-20.9373437400908
15.7725,-20.6524030669538,-3.23838762703543,-3.23838762703542,-20.8373983856957
15.82,-20.6259612180666,-3.25255888979373,-3.25255888979371,-20.7904127591797
15.8675,-20.6530348399649,-3.26545622684183,-3.26545622684172,-20.7976102850359
15.915,-20.7356517673241,-3.27641700671595,-3.27641700671577,-20.8606450208071
15.9625,-20.876628533741,-3.28468490782785,-3.28468490782757,-20.9816368181958
16.01,-21.0796276913554,-3.28944209469437,-3.28944209469403,-21.1631066469383
